Reviews,Positive,Negative,Neutral,New sentiments
im glad tat hav purchased totally worthy ,0.553,0.0,0.447,positive
fast delivery great performance,0.577,0.0,0.423,positive
amazing fast delivery best delivery experience complete satisfied device check upon delivery,0.545,0.0,0.455,positive
nice beautiful phone,0.87,0.0,0.13,positive
similar 13 pro,0.0,0.0,1.0,neutral
beast,0.0,0.0,1.0,neutral
camera raw quality outstanding superb quality pro motion display smooth loved,0.6,0.0,0.4,positive
real pro,0.0,0.0,1.0,neutral
working well timely delivered,0.412,0.0,0.588,positive
good,1.0,0.0,0.0,positive
camera superb,0.804,0.0,0.196,positive
awesome best phone forever good gaming experience battery life specially camera superb ❤️❤️❤️,0.63,0.0,0.37,positive
awesome 😎🍫🥰,0.804,0.0,0.196,positive
wow best segment,0.889,0.0,0.111,positive
awesome iphone best camera quality 48 megapixel 👌,0.624,0.0,0.376,positive
camera awesome overall mobile look cool,0.615,0.0,0.385,positive
best ❤️🔥🔥,0.808,0.0,0.192,positive
superb performance well,0.861,0.0,0.139,positive
excellent product awesome camera super fast,0.796,0.0,0.204,positive
first iphone full satisfied,0.483,0.0,0.517,positive
upgraded xr 14 pro amazing phone advanced feature limited pro model stock availability low got mine luckif youre upgrading iphone 11 11 pro  youll love update,0.286,0.114,0.6,positive
awesome loving,1.0,0.0,0.0,positive
mind blowing performance,0.0,0.0,1.0,neutral
expected battery backup exceptionally increased ⚡️absolutely priced worth it🔥,0.38,0.0,0.62,positive
worth upgrading iphone 11 iphone 14 pro 😊,0.241,0.0,0.759,positive
best mobile language give review really amazing iphone 14pro,0.542,0.0,0.458,positive
earlier plan go s23 buying iphone personal preference hve gone lot review came conclusion person iwe look smother faster performance iphone significantly better android would rate s23 1010 even iphone 14 pro 1010 difference could see o,0.073,0.071,0.856,positive
fantastic product even though iterative upgrade iphone 13 pro deep purple look purple light hit phone certain way beautiful dynamic island practical useful hopefully get better 3rd party developer start making use itflipkarts delivery quick hassle free order delivered launch date packed well,0.466,0.0,0.534,positive
buy want show nothing else phone,0.206,0.0,0.794,positive
fantastic picture quality,0.643,0.0,0.357,positive
great phone feel premium display awesome camera best segment thanks flipkart quick delivery,0.63,0.0,0.37,positive
seller product bestand fast service,0.0,0.0,1.0,neutral
go itthe iphone 14 pro max delivers unparalleled excellence  got 512gb rom variantreviewi recently upgraded iphone 14 pro max must say device gamechanger moment held hand could tell apple pushed boundary smartphone technology sleek design stunning display array impressive feature iphone 14 pro max exceeded expectation every wayone standout ,0.227,0.0,0.773,positive
